#Transcript position	Transcript coverage profile
0.0	0.12018144446798348
1.0	0.09633797431075856
2.0	0.06873466085307592
3.0	0.04898971996829406
4.0	0.05890920385590312
5.0	0.0691508663179877
6.0	0.06284090902238612
7.0	0.0579845966146001
8.0	0.08828022342906508
9.0	0.12867888026677698
10.0	0.10029888569115421
11.0	0.0856131853196009
12.0	0.09919461163272639
13.0	0.11546235228635264
14.0	0.12910844803077723
15.0	0.12565182348964576
16.0	0.14057371497178442
17.0	0.12543160197760855
18.0	0.09259934298965315
19.0	0.06597703289468106
20.0	0.0957296383442074
21.0	0.08789551738210402
22.0	0.09096200428174686
23.0	0.10155067122066094
24.0	0.09223127465211259
25.0	0.13446948313440724
26.0	0.09293803778350888
27.0	0.08957958204526198
28.0	0.07850170671985002
29.0	0.07963000715004619
30.0	0.10986429626965276
31.0	0.11334077711836683
32.0	0.1215939239172536
33.0	0.11183252114697675
34.0	0.07381664515054744
35.0	0.05724744394620974
36.0	0.06140735826217256
37.0	0.07073684326384574
38.0	0.0771156440713973
39.0	0.10734887332742023
40.0	0.1271351030919426
41.0	0.08586003007491537
42.0	0.125910265965637
43.0	0.1183893861807124
44.0	0.11992222084595143
45.0	0.07928692585027468
46.0	0.03758313290394672
47.0	0.057137306879667574
48.0	0.09046087008849486
49.0	0.10015466159215713
50.0	0.08932091174191044
51.0	0.06451008201508589
52.0	0.06674238024765321
53.0	0.09602297039225198
54.0	0.11388299088826695
55.0	0.08769612400294886
56.0	0.06562750159897657
57.0	0.0632643123660484
58.0	0.046291329795983195
59.0	0.07880244867745834
60.0	0.07133487175669533
61.0	0.049903336580925786
62.0	0.03858018279784844
63.0	0.054500687268136214
64.0	0.1072472319654497
65.0	0.10415341102239042
66.0	0.08653618212055371
67.0	0.04293816881228964
68.0	0.05464105899953327
69.0	0.07211017867338955
70.0	0.07365680079538399
71.0	0.07877602354809335
72.0	0.07243203339039614
73.0	0.0726373439605856
74.0	0.03722655405499155
75.0	0.037488340725411545
76.0	0.05580955197745994
77.0	0.06639063102086917
78.0	0.06771892889517743
79.0	0.06228646328129758
80.0	0.019973584477592107
81.0	0.028987250145190283
82.0	0.029924456549697213
83.0	0.04505623547760665
84.0	0.10846829361446265
85.0	0.14201295562332852
86.0	0.08746802891902292
87.0	0.057334856985782875
88.0	0.041409113452870516
89.0	0.025243763366582354
90.0	0.03789938663977294
91.0	0.05333657524076781
92.0	0.041517977384751804
93.0	0.04381045327199509
94.0	0.03931434595081174
95.0	0.02016459302006447
96.0	0.023435885228825292
97.0	0.04102008901615367
98.0	0.027329230535521047
99.0	0.005486543746816454
